359,701,980
785,972,520
181,198,536
870,854,247
658,909,503
550,957,982
173,979,195
836,212,257
139,944,275
928,966,256
102,747,981
273,200,596
643,584,749
964,878,906
616,523,656
144,540,635
449,214,531
941,529,144
726,589,740
743,134,674
126,418,588
796,533,245
691,268,419
360,248,387
561,702,729
769,632,777
381,544,469
544,542,983
133,209,120
414,658,546
365,833,488
660,179,665
286,825,385
696,997,626
792,775,989
482,957,555
622,486,767
248,923,391
643,867,983
700,826,810
390,561,697
700,515,827
420,844,582
311,372,807
164,115,179
796,678,366
944,372,380
878,930,134
426,537,205
148,156,883
365,260,242
793,891,744
337,226,595
103,352,398
364,284,433
532,281,929
318,369,284
415,972,910
481,298,960
399,665,913
836,125,373
716,373,336
145,492,140
659,768,419
168,722,307
331,505,203
399,978,382
155,931,514
168,235,632
844,839,250
948,709,678
748,845,304
745,755,532
572,284,336
537,165,250
264,397,709
858,710,187
425,999,716
157,104,380
564,306,366
365,320,329
460,586,481
739,838,386
450,600,112
353,115,436
156,348,935
214,657,478
774,337,454
196,550,736
926,497,600
895,491,647
279,792,604
868,890,405
892,503,139
729,164,120
185,303,504
853,380,132
228,195,204
168,712,718
827,329,460
